,Euclidean Distance,Cosine Similarity,PSNR,SSIM
ThrowDiscus,56.14508313505639,0.6604722375307446,22.570013256365094,0.8949942330519358
Swing,69.21510476865232,0.488777793550463,16.630598035140284,0.608916985988617
BenchPress,58.20473833634478,0.6363889101780599,19.98764475772244,0.8285861829916636
IceDancing,65.37690604004091,0.5512083487702821,16.10430138667896,0.7740280469258626
TrampolineJumping,61.12428872433183,0.6042083498393154,18.85966095110134,0.8056031952301661
Lunges,66.63187891790348,0.5327222373661739,16.889462928231715,0.6174008955558141
Mixing,62.80790645445689,0.5736944634829019,19.825576030265346,0.7566922078529994
HandstandPushups,55.70040420564272,0.6578888942589016,21.267800366212757,0.8191387342909972
PlayingDaf,40.86019014018676,0.8172083886124807,25.23435562282468,0.949752539396286
HorseRiding,68.14448752195707,0.5147500131711076,17.499143579029692,0.7372772594292959
TableTennisShot,39.782068075733044,0.820930609035583,24.72272000054871,0.9043229858080546
BandMarching,67.38477044912278,0.5086111593017502,16.574838497557437,0.654881749364237
PommelHorse,46.153918099965,0.7708710545619246,23.338773872012762,0.8658750832080842
PizzaTossing,59.84203232453374,0.61041666886005,19.706437449204575,0.7654188275337219
BasketballDunk,69.66839890466493,0.48636112420971206,17.655218530318834,0.6670034249623616
TaiChi,49.53909058511197,0.7286944577313179,23.220607831818256,0.8240603099266688
HorseRace,63.86564409883204,0.5689444457143387,20.913208638250993,0.6814350505669912
CuttingInKitchen,43.664695062723546,0.7831666944148288,23.11940292362375,0.8681707635521889
BoxingSpeedBag,52.43795524138336,0.7093889807412507,21.357265211325718,0.8558847943941752
BlowDryHair,51.958685107871226,0.7007916838768533,18.4543584395767,0.8252306977907816
CricketShot,48.7575567268433,0.7299305682974857,23.480518156731154,0.8492753108342489
Billiards,42.51378173535343,0.8022639048274642,24.816310830202976,0.9209089199701945
Haircut,52.40705576658484,0.7048055820518787,20.373221463024873,0.8537359416484833
Punch,71.78914841479668,0.45761138656046624,16.623406141254545,0.6222667694091797
SoccerJuggling,46.08606818091927,0.7698055743143913,22.889228064806918,0.8494288941224416
SkateBoarding,62.50640794035637,0.5881944878443406,17.230307473150177,0.7186141247550647
PushUps,51.706932788610324,0.7138750827410847,19.687787278483672,0.7714988460143407
BreastStroke,53.131876680074505,0.6985972313123493,19.891909492681904,0.8773256023724874
CleanAndJerk,44.52404382835978,0.778597243318867,25.503602759752763,0.8960077623526256
Diving,66.34866943342622,0.5360000214031759,18.872888446213587,0.7415420119961103
ShavingBeard,45.18541648166341,0.7774305813023962,23.966709997882276,0.9077850182851156
PlayingPiano,41.42162816519142,0.817833364865973,25.458602832654726,0.8453821678956349
Rafting,66.05162115571811,0.5403472431070907,15.960144326754383,0.7231085300445557
YoYo,52.4889987447532,0.70302781072899,19.511804162037357,0.8207111487785975
CricketBowling,40.33268238089497,0.8173195232066965,26.74746197397225,0.9482728242874146
Skiing,58.82580726544589,0.6359583701603516,21.248666689960526,0.7981722503900528
BoxingPunchingBag,52.97174947330355,0.7019305912844963,18.486469215307018,0.8109927554925283
HighJump,68.23221694595962,0.5039583539170864,17.235243556327266,0.5433826779325803
PlayingTabla,39.77808746343393,0.8304444663082763,26.226322547457798,0.952149260044098
PlayingViolin,53.958013553686065,0.6887222558984111,19.948068001280326,0.8382442116737365
JugglingBalls,47.95512152032463,0.757458398167795,25.65438568935672,0.9299870828787485
PlayingSitar,45.287079473857446,0.7685000231127002,24.045193175887068,0.9042406638463338
WalkingWithDog,64.3513825645893,0.5641805693052456,18.13249363848397,0.7473359641929468
ParallelBars,52.5139781995606,0.683625028972174,22.06997252191754,0.874378788471222
FieldHockeyPenalty,38.07275260523152,0.8238750189801488,26.22616598926111,0.8975341121355692
Drumming,51.49362302134173,0.7048472568216728,21.09585841872433,0.8434116423130036
Biking,69.14501776369107,0.4982083466655847,16.43548901107315,0.62998973056674
FrisbeeCatch,64.58180364984818,0.5610694658661556,18.85013011390537,0.7701123605171839
SumoWrestling,60.07393685901179,0.6131389888366102,19.12750290015056,0.8114368518193563
SoccerPenalty,47.2414567712525,0.7502500271835352,26.26452850524841,0.8977600554625194
WritingOnBoard,32.30491198782335,0.8850138974294883,27.986580490660703,0.9602417111396789
BrushingTeeth,35.11226934798876,0.8589861478618199,27.69509988185901,0.9478570381800334
Basketball,53.44149517024242,0.6829584215412362,24.559395170770205,0.8625222186247508
PlayingDhol,47.305688053175444,0.7467083525091176,24.19582434924511,0.9127968728542328
WallPushups,37.39423843065685,0.8495972454469326,24.798803113229482,0.9325774411360422
GolfSwing,45.05436037986283,0.7659028248007598,27.633253891173204,0.9577641010284423
JavelinThrow,68.61018669112595,0.5004027915751549,18.289424143313692,0.6257013104856014
Shotput,48.31626501770146,0.7448611322024903,24.010972649489815,0.9277158558368683
SalsaSpin,66.90048850875607,0.5250140257170216,17.12892396579128,0.6401136298974355
BodyWeightSquats,45.481311562601334,0.7711944660239934,21.985495140488062,0.8393359996378422
UnevenBars,63.133038290589475,0.5654027986559419,20.317740529851687,0.6341423134009043
MoppingFloor,63.159584729058615,0.5719027919896629,19.615306080729177,0.751863177617391
Kayaking,65.66216476100686,0.5468055643103817,17.45289617666597,0.7499237010876337
TennisSwing,49.02857765640415,0.7321112123541346,24.992876510936657,0.9092710276444753
Bowling,63.08701610775054,0.5666666790609357,18.367278371391215,0.7557325760523478
MilitaryParade,72.30577824129418,0.4453333976325602,19.116862067869043,0.6512360811233521
JumpRope,49.412557778255454,0.7359583490504288,22.069876219877628,0.8094492028156917
Skijet,61.884243325980464,0.5999444588710803,19.153575511856836,0.6603176598747571
PlayingCello,52.69266305874895,0.7016111415213998,22.15755340889299,0.814259198307991
BaseballPitch,47.449715556686435,0.7521389042204751,24.264287090602984,0.8207010785738628
Nunchucks,46.90036969546835,0.763250019774857,21.927081531037906,0.860188243786494
PoleVault,61.99145398078942,0.5819305782812522,18.037247147813446,0.6653537879387538
ApplyEyeMakeup,41.850703910111946,0.8141805744684281,22.695603096324792,0.9436998506387074
PlayingGuitar,45.812947240478316,0.7763750463460377,24.172130357207667,0.9355640590190888
ApplyLipstick,40.087412189462526,0.8276389129007099,25.362131173222345,0.9445758521556854
Surfing,52.807324223735456,0.707055570781748,20.839607020928433,0.9303249021371206
Knitting,54.881400615892524,0.6813750153005296,17.764251776092422,0.707632444302241
StillRings,63.829022791710194,0.548180572046023,20.186655913887982,0.606155809139212
RopeClimbing,59.545008945994454,0.6195972547490601,20.650190279798714,0.7798417766888937
HeadMassage,61.55095497280241,0.5969027934181115,17.97823009449764,0.727182079354922
HandstandWalking,54.272809418222295,0.6734027904973945,20.720851516048047,0.814688428491354
FloorGymnastics,63.157237868201356,0.5689305731878117,19.078369102322657,0.7975196003913879
FrontCrawl,53.47377654020706,0.6904166832767273,21.37950459290609,0.8174681757887204
Typing,36.713426039155905,0.8563611507464716,23.151118729489465,0.9437811374664307
VolleyballSpiking,61.92769997872853,0.5948611663300312,20.7325736334253,0.8295852561791738
PullUps,47.638627170262104,0.748694465626395,23.41044769473807,0.8576232274373372
Fencing,68.03196350129835,0.5157361408554181,16.80328482440628,0.6275426690777143
CliffDiving,64.43748078927266,0.5489028066608478,16.36080507978159,0.5591124798093612
LongJump,61.02743091800278,0.606597238878797,18.560542157420286,0.8013850510120392
BalanceBeam,55.29502177112545,0.648000030356334,23.332892203059497,0.7916547507047653
RockClimbingIndoor,60.77903173128512,0.5987638893230771,23.24407437402889,0.7641545047517866
JumpingJack,50.702587458374076,0.7276527981187796,24.67525714307479,0.8865013599395752
HulaHoop,55.410979849621626,0.6695417622643824,18.91845134431658,0.7675345341364542
Rowing,56.33478302550197,0.6643054610448621,22.62513175224499,0.8993202308813731
PlayingFlute,45.37276017071124,0.7799861495173583,22.191187088498502,0.817438738544782
BlowingCandles,58.95533343983372,0.6297916911292994,18.932205977234318,0.792459632953008
Hammering,45.57372234726204,0.758430576335479,23.257628034838824,0.8815119018157324
HammerThrow,58.134007926234666,0.6176667794363032,21.05262697168812,0.7572835425535838
SkyDiving,62.168666588912565,0.5921389175229563,19.576214873582792,0.8111079255739848
BabyCrawling,60.9140494990135,0.6119305933894378,20.548154696408357,0.8351479589939117
Archery,55.057953059306534,0.6700139140435084,20.21149159147168,0.8198851188023885
