,Euclidean Distance,Cosine Similarity,PSNR,SSIM
YoYo,35.66992229557276,0.9731141897604223,30.552861671814348,0.8992737808397838
ApplyEyeMakeup,29.207852369051942,0.9840279467316153,31.48476177043303,0.893804812005588
TennisSwing,27.13838496519215,0.985875465567764,31.341324338383394,0.9241112172603607
RockClimbingIndoor,34.19974087569686,0.9783401943738026,29.54818406675401,0.8918107109410423
PlayingSitar,22.263971076807966,0.9889565508221041,32.8171319074768,0.9010808787175587
MoppingFloor,28.023704235556696,0.9856851530157614,31.01132676954767,0.899032711982727
PlayingDaf,31.95118993310852,0.980802308034621,29.70633946535862,0.8581513656037194
BodyWeightSquats,29.512492496650605,0.9847122889516562,30.524457318596927,0.8891082874366215
GolfSwing,22.86456297477495,0.9907455546179845,32.73842490291715,0.9279716312885284
PlayingPiano,26.11920046594719,0.9831260026651105,30.94198418053301,0.9272040171282632
TrampolineJumping,40.94043313626908,0.9683393194100783,29.278516988005276,0.8630201082144465
JumpingJack,30.769390781474833,0.9801863276985393,30.32667248021888,0.9157916818346296
PlayingViolin,35.14484795359334,0.9750026413594342,29.879656013941094,0.9051361552306584
StillRings,34.39624790761603,0.967990524229743,30.085707935587983,0.9072684581790652
Lunges,40.48523924812447,0.9713690664268456,29.8732595618358,0.8794241685952459
Punch,42.068207295018865,0.962356752036622,29.027053793109808,0.8819225707224437
PlayingFlute,29.341052518522726,0.9813865851852179,30.362659562513375,0.9219550830977303
Mixing,32.92327555814101,0.9785588275841814,30.714199913960538,0.8988486272948129
VolleyballSpiking,33.58248860968933,0.9797248235781483,29.645138364633443,0.8749376056449754
PoleVault,33.635613219271825,0.9797091475744022,30.341497233208987,0.9157031646796635
ParallelBars,29.753702066692394,0.9792206900367936,30.710041546827988,0.9068588869912284
Typing,31.638002202241285,0.9782701668330188,29.996155663867192,0.8670207528131348
CleanAndJerk,28.177972352937598,0.9852308463063174,31.56365020410684,0.895037225314549
WalkingWithDog,41.3377718492225,0.9702087013895416,29.133889484692165,0.8190895867134843
BoxingSpeedBag,36.25202393891636,0.974559234214664,29.634087999053026,0.8977475996528353
Archery,33.13230045867616,0.9755480043747936,31.133003807041142,0.9013044940573829
BrushingTeeth,22.046755894754202,0.9901060115163046,32.302269982508356,0.9449151839528765
BalanceBeam,41.180639865471335,0.9627845647019146,29.355985453110243,0.9007427841424942
Haircut,29.255647775437314,0.9833110867815,31.54854775894645,0.905682195510183
SalsaSpin,35.27851516020992,0.9757562029066003,29.810128721120673,0.8844428743634906
Rowing,36.23400449371631,0.9778400564324234,30.006450478126816,0.8964242424283709
Biking,45.349404412110495,0.9617998509689379,29.934704363013008,0.8592421157019479
PushUps,31.38447740196733,0.9811349995438442,30.53060602743113,0.918091167296682
PullUps,27.82681178471532,0.9831061558402858,31.18933078766168,0.9165980475289481
IceDancing,42.259213340786566,0.9732988222316331,29.815004659705227,0.8690097300069672
HorseRace,31.456425456680023,0.9798236912669244,30.253425684238866,0.9088189878634044
FrontCrawl,30.001558424002585,0.984707472203888,30.73925751180385,0.9044132381677628
BaseballPitch,27.522983016904913,0.9849544701011455,31.224754543275882,0.9259135531527656
PlayingCello,24.770174026784066,0.9866102606004201,30.632590555504382,0.9090404851096017
Fencing,39.061101527156104,0.9715993657181113,30.31716845086166,0.9128119690077645
CliffDiving,48.550771940401596,0.9510135227987269,28.593089791085117,0.7927111514977047
WritingOnBoard,27.65911924590851,0.987636627641306,30.6488140432509,0.8014542098556247
SumoWrestling,34.84554846160115,0.9756053983385854,30.217219851916614,0.8991873498473849
FrisbeeCatch,38.032921444709494,0.9740310978630191,29.364914877289436,0.8897117269890649
