,Euclidean Distance,Cosine Similarity,PSNR,SSIM
JavelinThrow,275.4812550406186,0.6235283602906203,18.313963593534446,0.613650326927503
Basketball,190.66762975928614,0.8251618519975005,23.697296750089777,0.8719748198986054
Skijet,266.75422900851015,0.6940127211467247,19.881119255205654,0.658284316956997
YoYo,202.3764734000803,0.8111705510435024,20.111570497633764,0.792218025525411
PlayingGuitar,127.0882511186213,0.9346307092426012,24.954768277892793,0.9548010170459748
BabyCrawling,212.11231277425568,0.8040178767486749,21.524741521276223,0.8417652308940887
PlayingDaf,165.8756884411081,0.886246540252091,22.931455932704644,0.8788845002651214
MilitaryParade,276.32885266814975,0.5904366130543889,18.32057099914742,0.6933852374553681
PlayingPiano,113.65705009273863,0.9248767541693778,29.35643689128779,0.9284473776817321
PlayingTabla,125.79608827296234,0.9222868502755994,25.722606651033143,0.9349203864733379
PommelHorse,150.49242229753685,0.8727825856055207,24.702844076505716,0.8769441227118174
LongJump,273.3202920500318,0.6699065502775816,18.11627719869718,0.8135910332202911
HandstandPushups,176.84156439747073,0.8587454695450097,22.920180359825416,0.8510575095812479
PlayingViolin,182.9921449415187,0.8325168393826631,20.902085148460326,0.8432545642058055
HighJump,299.5530968220543,0.6003208673058412,17.02032160637474,0.6629176393151284
BalanceBeam,241.34053670006688,0.6449723517869415,20.166201294567735,0.7167356873552004
MoppingFloor,218.07274463887214,0.7845382764113203,21.51361029246749,0.8306296110153198
WritingOnBoard,122.9959816685539,0.9474088000029451,25.897019344372463,0.9426152924696605
Punch,300.72977382282767,0.5584703316033937,15.871991615898533,0.5608154435952505
PizzaTossing,226.248573984255,0.7398335329979504,19.10356270442585,0.7421149830023448
Swing,303.10080551328633,0.6121186090553123,15.148788462332769,0.5757402011503776
SumoWrestling,247.10339693144013,0.7015399186094148,17.843352270270397,0.7779992282390594
Mixing,203.1137201072147,0.8004460695396818,21.10088008792774,0.8378946671883265
ApplyLipstick,138.5817048154281,0.9246394246824163,23.303374769771153,0.9363825917243958
VolleyballSpiking,232.85753535455018,0.7453647745975954,19.726892055777522,0.859793875614802
BodyWeightSquats,172.271116267777,0.8389563325989664,22.161274193312767,0.8279905796051026
PlayingFlute,196.5160963261382,0.8003950184287822,21.663881837632836,0.7986848145723343
StillRings,195.2610619052751,0.748001178701861,22.867384431395703,0.7479112798968951
Knitting,250.8632434137601,0.7378625284005003,15.988089188900792,0.6621338218450546
CricketShot,189.14560001626324,0.8308894117296309,23.074691089927615,0.8208392202854157
BoxingPunchingBag,219.3024322490291,0.7962664076296313,17.070508397153546,0.7790568431218465
PlayingCello,166.28136332224338,0.8506157587034547,24.116755313356812,0.8653964201609293
Lunges,271.0318010622911,0.7055530116519148,17.76794990143202,0.6948057353496552
SoccerJuggling,185.44341851087026,0.8515830444136328,21.685453742185896,0.8221845348676046
BrushingTeeth,141.8021581957642,0.8882002664182723,27.07589566704409,0.9188602109750111
Diving,210.5406294875243,0.8033665462907096,22.82748343370126,0.8831252614657085
PullUps,157.20760219792447,0.8792817451702803,22.70097422991883,0.8688898940881093
HulaHoop,221.85437915457766,0.769478522829825,20.35361950903627,0.7660901139179865
TennisSwing,163.7483741390089,0.8795373465158832,24.59169833655394,0.9172723849614461
JumpingJack,162.1584070377151,0.8690536009556405,23.92064802246531,0.8831716239452362
Biking,275.0909216612138,0.6863923371844495,16.531506017541798,0.6096759542822838
ShavingBeard,159.82811732905674,0.8765908500486268,22.5178081668241,0.8888829151789347
Billiards,117.4285791568797,0.9115162952729773,27.63028417327879,0.9396446446577708
BandMarching,273.70185032505105,0.6254977811828744,17.081269819020292,0.6546774867301186
PlayingDhol,158.98896467914398,0.8713368464091964,24.933817745507394,0.9089691797892253
BoxingSpeedBag,219.83880309479628,0.7943848532514154,19.903846870907234,0.7717202079792818
ApplyEyeMakeup,149.086005019326,0.910578360322574,23.04762312508783,0.9372734546661377
Haircut,190.5249110440178,0.8373959964373139,20.9321603529559,0.8900925318400065
Shotput,187.16408279293736,0.8298309264095459,23.192946354817156,0.8983457962671916
TrampolineJumping,233.61196581342583,0.7549067770491681,19.183295890201613,0.7720874359210332
PoleVault,287.7240209103804,0.6689152241600096,15.60098056092347,0.6347924340516329
BaseballPitch,172.85434669395428,0.8720246885444768,23.470348809522495,0.8636506875356038
Kayaking,271.4888818779047,0.6655575439582289,17.831161406846036,0.7472615485390027
FloorGymnastics,260.145100654788,0.6700201551174629,18.023831226761573,0.7732136030991872
FrisbeeCatch,253.1491228244044,0.7258016650908055,21.141723441235012,0.8702637533346812
Fencing,296.91566163094217,0.6465938961116525,15.729079776027534,0.5988336235284806
SalsaSpin,251.72730732862016,0.734625681861712,18.08300094826829,0.6830034703016281
CuttingInKitchen,168.95399936636574,0.8831258190097839,23.08877119983005,0.8768564383188884
WallPushups,138.96975878584018,0.9026668967210733,24.896927611447833,0.9162818710009257
GolfSwing,144.87035421537246,0.9085604395323157,28.144300974627576,0.9560650845368703
BreastStroke,253.7279276626078,0.7385253965105675,20.415975268643056,0.8950249890486399
PlayingSitar,141.03257747483738,0.893930760290639,24.43507690568092,0.9202488084634145
Nunchucks,192.18748181126287,0.8495810595319693,20.77252643015828,0.7977704226970672
BlowDryHair,208.7732314046499,0.8143086090922153,19.41126428338446,0.8389294515053431
BasketballDunk,283.4574758563221,0.6213872365338139,17.013977733597446,0.631104302406311
Hammering,175.04177050034917,0.8351610511432263,22.98152815355076,0.9018656631310781
SkateBoarding,263.2854808065154,0.7379614676961614,16.911414601122647,0.7224039405584335
Bowling,245.5395644357377,0.717132248015823,19.190373984214276,0.7932653735081355
SoccerPenalty,167.01712151568924,0.8676705493554125,26.430400794221903,0.9091023961702983
RockClimbingIndoor,221.46314976584534,0.7735227442077584,23.18124268231514,0.8330272952715556
Surfing,243.45673694762587,0.7599302681574078,19.443431429394675,0.8988775610923767
ParallelBars,198.55912653294504,0.789226564911175,21.606255982173995,0.8594257444143295
WalkingWithDog,242.53307754426507,0.7798279098121202,18.535707109287003,0.8040449112653733
