,Euclidean Distance,Cosine Similarity,PSNR,SSIM
Typing,22.505972278191486,0.986714150399667,33.41658068874602,0.9377918433059346
JavelinThrow,38.0126268263717,0.9771729219041269,29.005920456354197,0.8648473755879835
SalsaSpin,33.32100177609614,0.9794202264711609,30.186784784678355,0.9045739228075201
Fencing,34.60850446931543,0.9793702713214523,29.928669275914885,0.9031998894431374
Drumming,32.69432264075681,0.9785557387722092,30.49791757392989,0.9269701703028246
HulaHoop,34.99470500109675,0.9756848927264634,29.99092361073135,0.9150201569903981
HandstandWalking,32.15502470530386,0.9780171674331424,29.32063336268197,0.8896519460461356
PlayingDaf,27.25626089111627,0.9851327162616514,29.957694372918528,0.900811647826975
StillRings,31.8863169333099,0.9757683161736374,29.984707976277377,0.8813988783142783
PizzaTossing,32.06881957031872,0.9797586115515722,30.397533765792126,0.8805682469498028
TennisSwing,28.17106456652114,0.9847716528057444,30.452588718715283,0.8852072574875571
RopeClimbing,31.054010460170716,0.9813631499895721,30.53901584185737,0.9231832298365505
BalanceBeam,21.952011029146796,0.9891352895006029,29.931399822683566,0.9040539183399894
PlayingTabla,27.73063534504373,0.9832055778123233,31.10507977295888,0.9145390066233547
MoppingFloor,24.49844963320235,0.9888743399601849,31.718692516803166,0.9514746747233651
Swing,40.02624179679424,0.9652265717577955,28.30444378759583,0.8559472466056997
LongJump,36.6373330847792,0.9741454502898168,28.539677667075097,0.8305015740069476
HighJump,42.94127731072147,0.9678152301567107,28.135547564819376,0.8305283405564048
PlayingSitar,21.528086136556126,0.990640365314524,30.87457387905934,0.9200676571239125
CliffDiving,35.6853879683057,0.9772845518969832,28.885635098213804,0.8878591954708099
WritingOnBoard,19.156387851731377,0.9936129170036045,32.09857872639933,0.9098125343972987
Knitting,40.53989715978577,0.969600084173814,28.967862031250036,0.9013706526973031
GolfSwing,19.97751277749427,0.9925735610706699,32.452391787114074,0.9547891508449208
Archery,34.06030582488692,0.9785292520099738,30.326017047487902,0.9186432524160906
BaseballPitch,29.08817600121283,0.9832840406421007,30.408825232477035,0.9189654073931954
Punch,34.038658981206034,0.9761725032464851,29.40060424109697,0.86946071007035
Skijet,27.098554490289757,0.987770291056759,30.059460438231007,0.8843839290467176
HorseRace,28.9129912369378,0.9844674550543984,29.578817963302583,0.8896630704402924
HeadMassage,33.18644897514843,0.9789891961519146,29.826642633965104,0.8799502538009123
BabyCrawling,26.129101687160826,0.9871288787875172,33.86251406564247,0.949644836512479
CricketBowling,27.23947422613876,0.9887581609214711,31.55310934994884,0.9164672033353285
PlayingViolin,31.531633441377693,0.9790232364954246,29.511366297904722,0.8793194754557176
SoccerPenalty,21.68281876839643,0.9888237255880524,31.541048248016537,0.9306050674481825
IceDancing,33.68816953720962,0.9825040644598005,30.750868178787588,0.9228557212786241
YoYo,29.517300983047114,0.9804876465921986,30.18930259335344,0.9208599058064548
MilitaryParade,25.359450204855097,0.9863350561965902,30.877533651616602,0.895958816463297
PlayingGuitar,25.54114008377816,0.9871626661928996,31.899320566164846,0.9346295432610945
ThrowDiscus,32.969823900859105,0.9796888846816854,29.100969476058026,0.8879134140231393
Basketball,23.952631174411103,0.9867750660832852,29.481176857927316,0.8547864583405581
BoxingSpeedBag,35.40022407832175,0.979525485890947,29.621624470128133,0.8583007942546497
Haircut,26.136924647955233,0.9851218472208989,30.347382248501578,0.9299389151009647
SumoWrestling,35.212355619153556,0.9741963815184288,28.91354798002248,0.8843613185665824
WallPushups,18.68126052683794,0.9924270744517991,31.257202535934326,0.9344586540352215
SoccerJuggling,20.09907448160553,0.9912740785576424,32.4270389017221,0.9247536984356967
PushUps,18.858606533979817,0.9921898765958311,32.204162951784696,0.9466796896674416
Kayaking,34.67727915435711,0.9802121037219111,29.836932148665106,0.9111640128222378
CleanAndJerk,24.309785915284586,0.9874649200284255,31.139672410847588,0.9141872200098904
PullUps,26.591973786889028,0.9853827559527935,31.288275819107653,0.899276005950841
RockClimbingIndoor,31.5701763153264,0.9812499308723857,29.621812319218243,0.89600562507456
PoleVault,25.411846147096885,0.9878048547083089,31.193689547405945,0.9205826778303493
FrisbeeCatch,31.25149744332099,0.9803082453231402,29.398823520712668,0.896575312722813
BreastStroke,31.498585100404547,0.9829442849994735,29.508578824774112,0.8883137811313976
ApplyLipstick,19.98227368719857,0.9916133418956171,32.95416726873051,0.9613466615026647
PlayingPiano,21.140350277880223,0.9894710193458118,31.845208291626392,0.9420555315234445
FieldHockeyPenalty,8.585797549500262,0.9983758253801874,34.873332221408496,0.9566381248560819
Lunges,26.439204159587486,0.9833979440465417,31.04236246554205,0.9147837162017822
HammerThrow,31.299004592211993,0.980951616775581,29.88979803984989,0.9130047207528895
PlayingCello,22.605904438330143,0.9895061176390367,31.367202107956505,0.9366773800416426
ApplyEyeMakeup,26.869855318864108,0.9847504702142927,32.03678052137641,0.9379979778419842
BlowDryHair,37.059679775258196,0.9730119084111017,29.361491991139175,0.8667162142016671
BlowingCandles,27.095619694154543,0.9844740889824213,30.333636867864186,0.9115552008152008
BasketballDunk,33.44626235820543,0.9792848672821733,29.740578857031817,0.8864903504198247
Diving,30.304640893683974,0.9802032003023655,31.2445418505177,0.8877954970706592
JumpRope,26.84310245766619,0.9862816130883667,30.557747629088542,0.9018212177536704
PlayingFlute,31.88004275854824,0.9786972160376118,28.852362750299545,0.8210228722203862
Mixing,28.191562270731794,0.9840302967737229,30.105687800946164,0.89490237290209
Billiards,27.51043702307853,0.9862379944990265,31.877929104851766,0.9368367005478252
SkyDiving,31.86572980464821,0.9803379316176619,29.450392194885318,0.8983825065872886
Rowing,28.863254610642144,0.9840979708530125,29.28741124725578,0.8755038570274006
